Complaint Year,Month,Patrol Borough Name,County,Offense Description,Bias Motive Description,Offense Category,General Offense Description
2019,2,PATROL BORO BRONX,BRONX,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2019,3,PATROL BORO BRONX,BRONX,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,3,PATROL BORO BRONX,BRONX,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,3,PATROL BORO BRONX,BRONX,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,5,PATROL BORO BRONX,BRONX,ROBBERY,ANTI-MUSLIM,Religion/Religious Practice,ROBBERY/BURGLARY
2019,5,PATROL BORO BRONX,BRONX,ROBBERY,ANTI-MUSLIM,Religion/Religious Practice,ROBBERY/BURGLARY
2019,5,PATROL BORO BRONX,BRONX,ROBBERY,ANTI-MUSLIM,Religion/Religious Practice,ROBBERY/BURGLARY
2019,6,PATROL BORO BRONX,BRONX,RAPE,ANTI-WHITE,Race/Color,OTHER FELONY
2019,7,PATROL BORO BRONX,BRONX,FELONY ASSAULT,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,FELONY ASSAULT
2019,8,PATROL BORO BRONX,BRONX,ASSAULT 3 & RELATED OFFENSES,ANTI-TRANSGENDER,Gender,ASSAULT 3 & RELATED OFFENSES
2019,10,PATROL BORO BRONX,BRONX,FELONY ASSAULT,ANTI-MUSLIM,Religion/Religious Practice,FELONY ASSAULT
2019,10,PATROL BORO BRONX,BRONX,FELONY ASSAULT,ANTI-MUSLIM,Religion/Religious Practice,FELONY ASSAULT
2019,12,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2020,2,PATROL BORO BRONX,BRONX,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2020,3,PATROL BORO BRONX,BRONX,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2020,3,PATROL BORO BRONX,BRONX,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2020,3,PATROL BORO BRONX,BRONX,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2020,4,PATROL BORO BRONX,BRONX,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2020,7,PATROL BORO BRONX,BRONX,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2020,7,PATROL BORO BRONX,BRONX,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2020,7,PATROL BORO BRONX,BRONX,MISCELLANEOUS PENAL LAW,ANTI-ASIAN,Race/Color,MISCELLANEOUS PENAL LAW
2020,10,PATROL BORO BRONX,BRONX,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2020,3,PATROL BORO BRONX,BRONX,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2020,7,PATROL BORO BRONX,BRONX,OFF. AGNST PUB ORD SENSBLTY &,ANTI-BLACK,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2020,12,PATROL BORO BRONX,BRONX,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,FELONY ASSAULT
2021,3,PATROL BORO BRONX,BRONX,FELONY ASSAULT,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,FELONY ASSAULT
2021,3,PATROL BORO BRONX,BRONX,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,4,PATROL BORO BRONX,BRONX,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,5,PATROL BORO BRONX,BRONX,BURGLARY,ANTI-JEWISH,Religion/Religious Practice,ROBBERY/BURGLARY
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,5,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL TRESPASS,ANTI-JEWISH,Religion/Religious Practice,OTHER MISDEMEANOR
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
